0.08144824, 8.999847
0.1628937, 8.999391
0.2443337, 8.99863
0.3257654, 8.997563
0.4071861, 8.996192
0.4885929, 8.994517
0.5699833, 8.992538
0.6513544, 8.990253
0.7327034, 8.987665
0.8140275, 8.984774
0.8953242, 8.981577
0.9765906, 8.978077
1.057824, 8.974272
1.139021, 8.970164
1.22018, 8.965753
1.301298, 8.961037
1.382372, 8.956018
1.463398, 8.950697
1.544376, 8.945072
1.625301, 8.939145
1.706171, 8.932916
1.786983, 8.926383
1.867735, 8.919549
1.948424, 8.912413
2.029046, 8.904975
2.1096, 8.897236
2.190083, 8.889195
2.270492, 8.880854
2.350823, 8.872212
2.431075, 8.86327
2.511245, 8.854028
2.59133, 8.844485
2.671327, 8.834644
2.751234, 8.824504
2.831047, 8.814066
2.910765, 8.803329
2.990384, 8.792293
3.069902, 8.78096
3.149316, 8.769331
3.228624, 8.757403
3.307822, 8.74518
3.386908, 8.732661
3.46588, 8.719847
3.544734, 8.706737
3.623469, 8.693333
3.70208, 8.679633
3.780567, 8.665641
3.858926, 8.651355
3.937153, 8.636776
4.015248, 8.621905
4.093206, 8.606742
4.171027, 8.591289
4.248706, 8.575543
4.326241, 8.559507
4.40363, 8.543183
4.480869, 8.526569
4.557957, 8.509666
4.634891, 8.492476
4.711668, 8.474998
4.788285, 8.457233
4.864741, 8.439181
4.941031, 8.420845
5.017155, 8.402223
5.093109, 8.383317
5.16889, 8.364126
5.244496, 8.344654
5.319925, 8.324898
5.395174, 8.304861
5.47024, 8.284543
5.545121, 8.263944
5.619814, 8.243066
5.694317, 8.221908
5.768628, 8.200472
5.842743, 8.178759
5.91666, 8.156769
5.990377, 8.134502
6.063892, 8.11196
6.137201, 8.089145
6.210302, 8.066055
6.283193, 8.042692
6.355872, 8.019057
6.428336, 7.995151
6.500581, 7.970973
6.572607, 7.946527
6.64441, 7.921811
6.715989, 7.896827
6.78734, 7.871575
6.858461, 7.846058
6.92935, 7.820275
7.000005, 7.794227
7.070423, 7.767915
7.140602, 7.74134
7.210539, 7.714504
7.280231, 7.687406
7.349678, 7.660048
7.418876, 7.632431
7.487822, 7.604555
7.556515, 7.576422
7.624952, 7.548033
7.693131, 7.519388
7.76105, 7.490489
7.828706, 7.461336
7.896098, 7.43193
7.963222, 7.402273
8.030076, 7.372366
8.096659, 7.342209
8.162968, 7.311803
8.229, 7.28115
8.294753, 7.250251
8.360227, 7.219106
8.425417, 7.187716
8.490322, 7.156084
8.554939, 7.124209
8.619267, 7.092093
8.683304, 7.059738
8.747046, 7.027143
8.810492, 6.99431
8.87364, 6.961241
8.936488, 6.927936
8.999034, 6.894396
9.061274, 6.860623
9.123208, 6.826618
9.184834, 6.792382
9.246148, 6.757916
9.307149, 6.723222
9.367835, 6.6883
9.428205, 6.653151
9.488256, 6.617777
9.547984, 6.582179
9.60739, 6.546359
9.666471, 6.510316
9.725224, 6.474054
9.783648, 6.437572
9.841743, 6.400872
9.899502, 6.363956
9.956927, 6.326825
10.01402, 6.289479
10.07076, 6.25192
10.12717, 6.21415
10.18324, 6.17617
10.23896, 6.13798
10.29433, 6.099583
10.34936, 6.060979
10.40403, 6.02217
10.45836, 5.983158
10.51233, 5.943942
10.56594, 5.904526
10.6192, 5.86491
10.67209, 5.825094
10.72463, 5.785083
10.7768, 5.744875
10.82861, 5.704473
10.88005, 5.663877
10.93112, 5.623091
10.98183, 5.58211
